LOTTO GAME	COMBINATIONS	DRAW DATE	JACKPOT (PHP)	WINNERS	slot1	slot2	slot3	slot4	slot5	slot6
Superlotto 6/49	11-49-14-28-46-17	January 25, 2015	16,000,000.00	0	11	14	17	28	46	49
Superlotto 6/49	01-47-02-27-37-24	January 27, 2015	16,000,000.00	0	1	2	24	27	37	47
Superlotto 6/49	47-05-46-02-13-08	January 29, 2015	16,000,000.00	0	2	5	8	13	46	47
Superlotto 6/49	20-12-40-14-09-05	February 1, 2015	16,000,000.00	0	5	9	12	14	20	40
Superlotto 6/49	06-01-16-39-38-10	February 3, 2015	18,139,804.00	0	1	6	10	16	38	39
Superlotto 6/49	19-47-49-02-46-29	February 5, 2015	21,882,836.00	0	2	19	29	46	47	49
Superlotto 6/49	02-37-22-12-42-24	February 8, 2015	26,326,320.00	0	2	12	22	24	37	42
Superlotto 6/49	13-27-45-16-19-41	February 10, 2015	30,177,332.00	0	13	16	19	27	41	45
Superlotto 6/49	07-13-45-11-10-37	February 12, 2015	34,123,812.00	0	7	10	11	13	37	45
Superlotto 6/49	23-11-08-04-22-25	February 15, 2015	38,515,608.00	0	4	8	11	22	23	25
Superlotto 6/49	16-23-19-20-25-30	February 17, 2015	42,610,228.00	1	16	19	20	23	25	30
Superlotto 6/49	01-39-49-35-03-10	February 19, 2015	16,000,000.00	0	1	3	10	35	39	49
Superlotto 6/49	05-31-38-29-46-20	February 22, 2015	16,000,000.00	0	5	20	29	31	38	46
Superlotto 6/49	06-39-41-23-31-22	February 24, 2015	16,000,000.00	0	6	22	23	31	39	41
Superlotto 6/49	04-21-37-45-27-15	February 26, 2015	16,000,000.00	0	4	15	21	27	37	45
Superlotto 6/49	31-19-16-39-45-40	March 1, 2015	17,439,008.00	0	16	19	31	39	40	45
Superlotto 6/49	26-48-42-44-10-33	March 3, 2015	20,872,604.00	0	10	26	33	42	44	48
Superlotto 6/49	24-46-47-02-31-01	March 5, 2015	24,528,352.00	0	1	2	24	31	46	47
Superlotto 6/49	24-42-46-13-33-02	March 8, 2015	28,330,852.00	0	2	13	24	33	42	46
Superlotto 6/49	43-40-30-11-19-37	March 10, 2015	32,109,740.00	0	11	19	30	37	40	43
Superlotto 6/49	15-22-24-27-10-20	March 12, 2015	35,987,144.00	0	10	15	20	22	24	27
Superlotto 6/49	18-16-04-08-48-03	March 15, 2015	40,118,596.00	0	3	4	8	16	18	48
Superlotto 6/49	42-48-04-46-05-39	March 19, 2015	48,172,612.00	0	4	5	39	42	46	48
Superlotto 6/49	27-38-15-43-49-11	March 22, 2015	52,784,292.00	0	11	15	27	38	43	49
Superlotto 6/49	16-36-12-37-46-09	March 26, 2015	62,098,712.00	0	9	12	16	36	37	46
Superlotto 6/49	34-07-47-10-01-02	March 29, 2015	67,238,384.00	0	1	2	7	10	34	47
Superlotto 6/49	38-37-32-03-34-39	March 31, 2015	72,436,800.00	0	3	32	34	37	38	39
Superlotto 6/49	33-39-43-44-15-07	April 7, 2015	78,202,412.00	0	7	15	33	39	43	44
Superlotto 6/49	44-46-33-28-05-13	April 9, 2015	83,692,868.00	0	5	13	28	33	44	46
Superlotto 6/49	48-35-19-37-24-28	April 12, 2015	89,651,116.00	0	19	24	28	35	37	48
Superlotto 6/49	40-45-33-37-31-03	April 14, 2015	95,510,512.00	0	3	31	33	37	40	45
Superlotto 6/49	18-25-29-23-09-35	April 16, 2015	101,927,592.00	1	9	18	23	25	29	35
Superlotto 6/49	46-18-17-24-39-08	March 17, 2015	44,099,956.00	0	8	17	18	24	39	46
Superlotto 6/49	38-07-44-41-03-02	March 24, 2015	57,409,216.00	0	2	3	7	38	41	44
Superlotto 6/49	01-39-31-46-49-48	April 19, 2015	16,000,000.00	0	1	31	39	46	48	49
Superlotto 6/49	10-19-14-28-45-44	April 21, 2015	16,000,000.00	0	10	14	19	28	44	45
Superlotto 6/49	08-22-05-32-34-45	April 23, 2015	16,000,000.00	0	5	8	22	32	34	45
Superlotto 6/49	15-23-32-35-47-06	April 26, 2015	16,000,000.00	0	6	15	23	32	35	47
Superlotto 6/49	24-28-38-42-17-05	April 28, 2015	16,000,000.00	0	5	17	24	28	38	42
Superlotto 6/49	13-16-01-22-34-26	April 30, 2015	17,558,412.00	1	1	13	16	22	26	34
Superlotto 6/49	11-10-05-48-49-35	May 3, 2015	16,000,000.00	0	5	10	11	35	48	49
Superlotto 6/49	34-46-49-31-25-27	May 5, 2015	16,000,000.00	0	25	27	31	34	46	49
Superlotto 6/49	10-09-19-31-16-49	May 7, 2015	16,000,000.00	0	9	10	16	19	31	49
Superlotto 6/49	27-42-46-05-23-31	May 10, 2015	16,000,000.00	0	5	23	27	31	42	46
Superlotto 6/49	38-40-09-19-02-22	May 12, 2015	16,000,000.00	0	2	9	19	22	38	40
Superlotto 6/49	42-32-36-09-41-20	May 14, 2015	18,840,420.00	0	9	20	32	36	41	42
Superlotto 6/49	26-45-02-10-29-46	May 17, 2015	22,214,488.00	0	2	10	26	29	45	46
Superlotto 6/49	35-39-29-30-38-41	May 19, 2015	25,421,980.00	0	29	30	35	38	39	41
Superlotto 6/49	48-35-14-08-17-10	May 21, 2015	28,700,608.00	0	8	10	14	17	35	48
Superlotto 6/49	45-31-17-18-44-30	May 24, 2015	32,150,552.00	0	17	18	30	31	44	45
Superlotto 6/49	01-41-49-35-08-16	May 26, 2015	35,455,972.00	0	1	8	16	35	41	49
Superlotto 6/49	18-29-38-05-31-22	May 28, 2015	38,906,836.00	0	5	18	22	29	31	38
Superlotto 6/49	49-21-24-05-08-39	May 31, 2015	42,668,884.00	0	5	8	21	24	39	49
Superlotto 6/49	30-34-49-01-05-29	June 2, 2015	46,152,076.00	0	1	5	29	30	34	49
Superlotto 6/49	37-23-14-13-45-20	June 4, 2015	49,838,752.00	0	13	14	20	23	37	45
Superlotto 6/49	39-36-06-24-43-25	June 7, 2015	53,930,292.00	0	6	24	25	36	39	43
Superlotto 6/49	13-37-41-47-02-27	June 9, 2015	57,720,772.00	0	2	13	27	37	41	47
Superlotto 6/49	29-21-01-14-18-07	June 11, 2015	61,738,644.00	0	1	7	14	18	21	29
Superlotto 6/49	27-32-43-11-07-05	June 14, 2015	66,072,956.00	0	5	7	11	27	32	43
Superlotto 6/49	36-03-14-43-38-04	June 16, 2015	70,332,652.00	0	3	4	14	36	38	43
Superlotto 6/49	49-15-37-21-48-07	June 18, 2015	74,490,520.00	0	7	15	21	37	48	49
Superlotto 6/49	22-13-19-14-30-35	June 21, 2015	79,394,740.00	0	13	14	19	22	30	35
Superlotto 6/49	04-46-35-12-39-15	June 23, 2015	83,976,468.00	0	4	12	15	35	39	46
Superlotto 6/49	13-19-04-31-49-20	June 25, 2015	88,794,736.00	1	4	13	19	20	31	49
Superlotto 6/49	14-05-01-32-37-49	June 28, 2015	16,000,000.00	0	1	5	14	32	37	49
Superlotto 6/49	42-05-32-11-24-21	June 30, 2015	16,000,000.00	1	5	11	21	24	32	42
Superlotto 6/49	27-02-04-08-13-40	July 2, 2015	16,000,000.00	0	2	4	8	13	27	40
Superlotto 6/49	11-31-03-28-44-13	July 5, 2015	16,000,000.00	0	3	11	13	28	31	44
Superlotto 6/49	18-48-12-11-13-05	July 7, 2015	16,000,000.00	0	5	11	12	13	18	48
Superlotto 6/49	25-46-49-39-17-07	July 9, 2015	16,000,000.00	0	7	17	25	39	46	49
Superlotto 6/49	04-01-32-13-29-08	July 12, 2015	16,000,000.00	0	1	4	8	13	29	32
Superlotto 6/49	17-45-19-04-37-38	July 14, 2015	18,198,372.00	0	4	17	19	37	38	45
Superlotto 6/49	29-47-10-36-16-21	July 16, 2015	20,942,128.00	0	10	16	21	29	36	47
Superlotto 6/49	30-24-15-07-36-01	July 19, 2015	24,216,048.00	0	1	7	15	24	30	36
Superlotto 6/49	41-21-02-44-03-26	July 21, 2015	26,972,424.00	0	2	3	21	26	41	44
Superlotto 6/49	06-28-35-46-38-03	July 23, 2015	29,762,240.00	0	3	6	28	35	38	46
Superlotto 6/49	43-19-07-27-18-44	July 26, 2015	33,034,792.00	0	7	18	19	27	43	44
Superlotto 6/49	08-35-04-20-17-14	July 28, 2015	36,499,532.00	0	4	8	14	17	20	35
Superlotto 6/49	25-32-04-11-15-29	July 30, 2015	40,150,956.00	0	4	11	15	25	29	32
Superlotto 6/49	15-39-09-07-14-13	August 2, 2015	43,800,756.00	0	7	9	13	14	15	39
Superlotto 6/49	18-17-12-48-29-01	August 4, 2015	47,615,580.00	0	1	12	17	18	29	48
Superlotto 6/49	42-01-04-11-16-47	August 6, 2015	51,369,788.00	0	1	4	11	16	42	47
Superlotto 6/49	21-33-14-08-23-30	August 9, 2015	55,081,252.00	0	8	14	21	23	30	33
Superlotto 6/49	34-44-04-42-06-03	August 11, 2015	58,879,452.00	0	3	4	6	34	42	44
Superlotto 6/49	08-21-04-48-23-30	August 13, 2015	62,776,188.00	0	4	8	21	23	30	48
Superlotto 6/49	29-44-33-36-40-06	August 16, 2015	66,810,388.00	0	6	29	33	36	40	44
Superlotto 6/49	05-27-43-46-14-22	August 18, 2015	70,692,760.00	0	5	14	22	27	43	46
Superlotto 6/49	26-35-37-30-42-09	August 20, 2015	74,600,324.00	0	9	26	30	35	37	42
Superlotto 6/49	42-25-36-17-26-35	August 23, 2015	78,665,044.00	0	17	25	26	35	36	42
Superlotto 6/49	29-08-33-42-46-12	August 25, 2015	82,838,864.00	0	8	12	29	33	42	46
Superlotto 6/49	03-39-40-48-19-46	August 27, 2015	87,120,292.00	0	3	19	39	40	46	48
Superlotto 6/49	07-10-40-45-31-14	August 30, 2015	91,492,428.00	1	7	10	14	31	40	45
Superlotto 6/49	07-29-02-19-32-13	September 1, 2015	16,000,000.00	0	2	7	13	19	29	32
Superlotto 6/49	17-07-38-03-23-13	September 3, 2015	16,000,000.00	1	3	7	13	17	23	38
Superlotto 6/49	49-14-10-47-42-35	September 6, 2015	16,000,000.00	0	10	14	35	42	47	49
Superlotto 6/49	05-30-15-34-22-24	September 8, 2015	16,000,000.00	0	5	15	22	24	30	34
Superlotto 6/49	16-13-20-01-28-14	September 13, 2015	16,000,000.00	0	1	13	14	16	20	28
Superlotto 6/49	43-49-44-21-09-10	September 15, 2015	16,000,000.00	0	9	10	21	43	44	49
Superlotto 6/49	13-46-21-41-02-34	September 17, 2015	17,609,452.00	0	2	13	21	34	41	46
Superlotto 6/49	35-41-30-22-14-44	September 20, 2015	20,514,780.00	0	14	22	30	35	41	44
Superlotto 6/49	25-12-49-05-20-27	September 22, 2015	23,490,824.00	0	5	12	20	25	27	49
Superlotto 6/49	18-38-12-39-25-06	September 24, 2015	26,429,416.00	0	6	12	18	25	38	39
Superlotto 6/49	04-41-29-09-26-20	September 27, 2015	29,495,720.00	0	4	9	20	26	29	41
Superlotto 6/49	35-02-12-44-34-27	September 29, 2015	32,385,412.00	0	2	12	27	34	35	44
Superlotto 6/49	32-12-04-44-13-17	October 1, 2015	35,299,532.00	0	4	12	13	17	32	44
Superlotto 6/49	07-12-43-21-33-47	October 4, 2015	38,540,560.00	0	7	12	21	33	43	47
Superlotto 6/49	13-43-02-23-25-36	October 6, 2015	41,566,300.00	0	2	13	23	25	36	43
Superlotto 6/49	27-31-41-06-48-09	October 8, 2015	44,652,292.00	0	6	9	27	31	41	48
Superlotto 6/49	22-04-48-15-17-23	October 11, 2015	48,187,784.00	0	4	15	17	22	23	48
Superlotto 6/49	38-47-39-43-08-46	October 13, 2015	51,974,644.00	0	8	38	39	43	46	47
Superlotto 6/49	49-42-38-41-26-44	October 15, 2015	56,000,604.00	0	26	38	41	42	44	49
Superlotto 6/49	49-13-32-36-09-23	October 18, 2015	59,341,648.00	0	9	13	23	32	36	49
Superlotto 6/49	05-42-33-32-08-49	October 20, 2015	63,326,644.00	0	5	8	32	33	42	49
Superlotto 6/49	03-08-45-12-49-19	October 22, 2015	67,481,876.00	0	3	8	12	19	45	49
Superlotto 6/49	24-34-27-40-28-49	October 25, 2015	71,619,044.00	0	24	27	28	34	40	49
Superlotto 6/49	07-12-23-46-24-40	October 27, 2015	75,874,632.00	0	7	12	23	24	40	46
Superlotto 6/49	06-41-43-03-11-49	October 29, 2015	80,215,440.00	0	3	6	11	41	43	49
Superlotto 6/49	48-49-30-17-42-38	November 1, 2015	83,993,992.00	0	17	30	38	42	48	49
Superlotto 6/49	09-26-01-46-32-02	November 3, 2015	88,780,388.00	0	1	2	9	26	32	46
Superlotto 6/49	11-02-22-39-46-27	November 5, 2015	93,718,492.00	0	2	11	22	27	39	46
Superlotto 6/49	27-12-38-20-06-25	November 8, 2015	99,354,768.00	0	6	12	20	25	27	38
Superlotto 6/49	42-33-48-31-44-01	November 10, 2015	104,674,352.00	0	1	31	33	42	44	48
Superlotto 6/49	30-45-01-10-16-14	November 12, 2015	110,549,216.00	0	1	10	14	16	30	45
Superlotto 6/49	27-43-35-34-10-47	November 15, 2015	117,424,872.00	0	10	27	34	35	43	47
Superlotto 6/49	46-05-07-37-44-22	November 17, 2015	123,744,348.00	0	5	7	22	37	44	46
Superlotto 6/49	08-06-35-29-13-36	November 19, 2015	130,434,632.00	0	6	8	13	29	35	36
Superlotto 6/49	07-37-09-35-01-30	November 22, 2015	137,888,164.00	0	1	7	9	30	35	37
Superlotto 6/49	21-09-23-26-05-35	November 24, 2015	144,811,280.00	0	5	9	21	23	26	35
Superlotto 6/49	33-09-15-39-23-06	November 26, 2015	152,168,540.00	0	6	9	15	23	33	39
Superlotto 6/49	07-04-23-48-36-47	November 29, 2015	160,217,092.00	0	4	7	23	36	47	48
Superlotto 6/49	48-32-34-19-31-04	December 1, 2015	167,684,284.00	0	4	19	31	32	34	48
Superlotto 6/49	34-26-17-21-39-49	December 3, 2015	175,570,608.00	0	17	21	26	34	39	49
Superlotto 6/49	08-07-17-35-06-20	December 6, 2015	184,277,356.00	0	6	7	8	17	20	35
Superlotto 6/49	32-28-38-22-40-43	December 8, 2015	192,807,936.00	0	22	28	32	38	40	43
Superlotto 6/49	04-43-36-33-18-34	September 10, 2015	16,000,000.00	0	4	18	33	34	36	43
Superlotto 6/49	44-38-04-40-42-46	December 10, 2015	202,148,376.00	0	4	38	40	42	44	46
Superlotto 6/49	05-13-33-10-15-08	December 13, 2015	212,501,452.00	1	5	8	10	13	15	33
Superlotto 6/49	32-12-28-38-25-31	December 15, 2015	16,000,000.00	0	12	25	28	31	32	38
Superlotto 6/49	19-37-36-03-27-34	December 17, 2015	16,000,000.00	0	3	19	27	34	36	37
Superlotto 6/49	14-47-29-40-08-06	December 20, 2015	16,000,000.00	0	6	8	14	29	40	47
Superlotto 6/49	22-32-08-49-01-37	December 22, 2015	16,000,000.00	0	1	8	22	32	37	49
Superlotto 6/49	24-29-13-20-48-08	December 24, 2015	16,000,000.00	0	8	13	20	24	29	48
Superlotto 6/49	06-41-15-35-28-04	December 27, 2015	18,853,896.00	0	4	6	15	28	35	41
Superlotto 6/49	02-47-16-01-26-21	December 29, 2015	22,458,104.00	0	1	2	16	21	26	47
Superlotto 6/49	28-33-45-41-15-24	December 31, 2015	24,839,636.00	0	15	24	28	33	41	45
Superlotto 6/49	19-43-22-32-01-06	January 3, 2016	28,419,344.00	0	1	6	19	22	32	43
Superlotto 6/49	27-16-30-23-29-06	January 5, 2016	32,008,476.00	0	6	16	23	27	29	30
Superlotto 6/49	15-16-41-46-45-42	January 7, 2016	35,671,800.00	0	15	16	41	42	45	46
Superlotto 6/49	08-48-39-38-13-36	January 10, 2016	39,615,764.00	0	8	13	36	38	39	48
Superlotto 6/49	46-12-39-26-23-49	January 12, 2016	43,135,832.00	0	12	23	26	39	46	49
Superlotto 6/49	20-08-22-04-14-35	January 14, 2016	46,830,640.00	0	4	8	14	20	22	35
Superlotto 6/49	47-29-31-07-24-16	January 17, 2016	50,980,832.00	0	7	16	24	29	31	47
Superlotto 6/49	38-27-46-15-08-49	January 19, 2016	54,756,044.00	0	8	15	27	38	46	49
Superlotto 6/49	29-17-47-03-07-26	January 21, 2016	58,527,188.00	0	3	7	17	26	29	47
Superlotto 6/49	28-05-46-22-27-49	January 24, 2016	62,879,004.00	0	5	22	27	28	46	49
Superlotto 6/49	10-02-42-45-15-11	January 26, 2016	67,057,652.00	0	2	10	11	15	42	45
Superlotto 6/49	39-32-04-12-18-10	January 28, 2016	71,446,552.00	0	4	10	12	18	32	39
Superlotto 6/49	44-36-20-49-24-47	January 31, 2016	76,364,588.00	0	20	24	36	44	47	49
Superlotto 6/49	21-29-22-11-41-38	February 2, 2016	81,283,128.00	0	11	21	22	29	38	41
Superlotto 6/49	19-28-26-39-45-08	February 4, 2016	86,533,972.00	0	8	19	26	28	39	45
Superlotto 6/49	07-09-06-04-13-36	February 7, 2016	92,492,468.00	0	4	6	7	9	13	36
Superlotto 6/49	14-11-02-26-34-36	February 9, 2016	98,341,196.00	0	2	11	14	26	34	36
Superlotto 6/49	31-27-19-20-11-28	February 11, 2016	104,647,584.00	0	11	19	20	27	28	31
Superlotto 6/49	38-31-49-02-08-10	February 14, 2016	111,635,544.00	0	2	8	10	31	38	49
Superlotto 6/49	03-19-33-39-29-26	February 16, 2016	119,100,028.00	1	3	19	26	29	33	39
Superlotto 6/49	01-36-08-27-19-03	February 18, 2016	16,000,000.00	0	1	3	8	19	27	36
Superlotto 6/49	38-22-44-34-36-45	February 21, 2016	16,000,000.00	0	22	34	36	38	44	45
Superlotto 6/49	32-28-48-25-16-38	February 23, 2016	16,000,000.00	0	16	25	28	32	38	48
Superlotto 6/49	33-48-47-28-26-41	February 25, 2016	16,000,000.00	0	26	28	33	41	47	48
Superlotto 6/49	01-31-40-30-42-33	February 28, 2016	16,890,592.00	0	1	30	31	33	40	42
Superlotto 6/49	09-21-30-42-38-34	March 1, 2016	20,296,300.00	0	9	21	30	34	38	42
Superlotto 6/49	31-37-36-09-24-30	March 3, 2016	23,804,496.00	0	9	24	30	31	36	37
Superlotto 6/49	13-33-01-03-18-32	March 6, 2016	27,510,960.00	0	1	3	13	18	32	33
Superlotto 6/49	16-31-30-46-25-04	March 8, 2016	31,175,992.00	0	4	16	25	30	31	46
Superlotto 6/49	08-17-23-13-34-35	March 10, 2016	34,979,720.00	0	8	13	17	23	34	35
Superlotto 6/49	34-06-18-38-04-30	March 13, 2016	38,842,624.00	0	4	6	18	30	34	38
Superlotto 6/49	20-03-15-13-06-12	March 15, 2016	42,803,512.00	0	3	6	12	13	15	20
Superlotto 6/49	47-05-06-46-09-15	March 17, 2016	46,985,392.00	0	5	6	9	15	46	47
Superlotto 6/49	10-16-40-17-03-09	March 20, 2016	51,098,220.00	0	3	9	10	16	17	40
Superlotto 6/49	42-20-27-31-04-28	March 22, 2016	55,224,932.00	0	4	20	27	28	31	42
Superlotto 6/49	05-49-14-27-34-19	March 29, 2016	59,719,660.00	0	5	14	19	27	34	49
Superlotto 6/49	22-09-08-31-02-44	March 31, 2016	64,175,048.00	0	2	8	9	22	31	44
Superlotto 6/49	32-02-28-40-37-27	April 3, 2016	68,937,996.00	0	2	27	28	32	37	40
Superlotto 6/49	49-04-20-46-40-30	April 5, 2016	73,472,396.00	0	4	20	30	40	46	49
Superlotto 6/49	25-10-13-15-20-37	April 7, 2016	78,356,548.00	0	10	13	15	20	25	37
Superlotto 6/49	15-02-23-17-42-30	April 10, 2016	83,518,460.00	0	2	15	17	23	30	42
Superlotto 6/49	37-33-04-31-07-30	April 12, 2016	88,717,280.00	0	4	7	30	31	33	37
Superlotto 6/49	31-13-45-20-41-46	April 14, 2016	94,210,188.00	1	13	20	31	41	45	46
Superlotto 6/49	22-36-47-06-37-04	April 17, 2016	16,000,000.00	0	4	6	22	36	37	47
Superlotto 6/49	05-24-12-14-43-20	April 19, 2016	16,000,000.00	0	5	12	14	20	24	43
Superlotto 6/49	34-29-41-49-32-05	April 21, 2016	16,000,000.00	0	5	29	32	34	41	49
Superlotto 6/49	25-38-48-29-24-35	April 24, 2016	16,000,000.00	0	24	25	29	35	38	48
Superlotto 6/49	31-42-05-34-11-14	April 26, 2016	16,000,000.00	0	5	11	14	31	34	42
Superlotto 6/49	17-19-14-47-46-16	April 28, 2016	16,633,496.00	0	14	16	17	19	46	47
Superlotto 6/49	30-29-03-27-17-04	May 1, 2016	19,456,648.00	0	3	4	17	27	29	30
Superlotto 6/49	32-03-31-09-30-16	May 3, 2016	21,914,456.00	0	3	9	16	30	31	32
Superlotto 6/49	41-47-24-20-29-12	May 5, 2016	24,511,456.00	0	12	20	24	29	41	47
Superlotto 6/49	06-23-12-44-05-24	May 8, 2016	27,509,920.00	0	5	6	12	23	24	44
Superlotto 6/49	35-03-04-49-13-19	May 10, 2016	30,624,924.00	0	3	4	13	19	35	49
Superlotto 6/49	21-12-25-33-32-18	May 12, 2016	34,052,920.00	0	12	18	21	25	32	33
Superlotto 6/49	40-01-20-36-35-29	May 15, 2016	37,421,536.00	0	1	20	29	35	36	40
Superlotto 6/49	48-19-08-29-33-44	May 17, 2016	40,991,476.00	0	8	19	29	33	44	48
Superlotto 6/49	25-06-38-13-29-18	May 19, 2016	44,682,584.00	0	6	13	18	25	29	38
Superlotto 6/49	08-45-35-32-34-47	May 22, 2016	48,248,068.00	0	8	32	34	35	45	47
Superlotto 6/49	24-21-44-20-17-13	May 24, 2016	51,959,268.00	0	13	17	20	21	24	44
Superlotto 6/49	39-01-38-11-22-10	May 26, 2016	55,727,672.00	0	1	10	11	22	38	39
Superlotto 6/49	06-16-36-12-30-28	May 29, 2016	59,378,244.00	0	6	12	16	28	30	36
Superlotto 6/49	20-03-48-30-26-38	May 31, 2016	63,123,336.00	0	3	20	26	30	38	48
Superlotto 6/49	21-30-04-25-22-37	June 2, 2016	67,157,960.00	0	4	21	22	25	30	37
Superlotto 6/49	40-05-03-41-17-25	June 5, 2016	71,115,288.00	0	3	5	17	25	40	41
Superlotto 6/49	46-14-06-37-11-15	June 7, 2016	75,480,828.00	0	6	11	14	15	37	46
Superlotto 6/49	19-36-14-09-16-49	June 9, 2016	79,840,856.00	0	9	14	16	19	36	49
Superlotto 6/49	40-46-38-17-43-12	June 12, 2016	83,963,452.00	0	12	17	38	40	43	46
Superlotto 6/49	07-09-45-14-41-35	June 14, 2016	88,210,824.00	0	7	9	14	35	41	45
Superlotto 6/49	25-30-23-21-47-06	June 16, 2016	92,721,144.00	0	6	21	23	25	30	47
Superlotto 6/49	11-09-25-23-31-18	June 19, 2016	97,109,808.00	1	9	11	18	23	25	31
Superlotto 6/49	19-43-32-45-24-03	June 21, 2016	16,000,000.00	0	3	19	24	32	43	45
Superlotto 6/49	41-48-06-40-03-10	June 23, 2016	16,000,000.00	0	3	6	10	40	41	48
Superlotto 6/49	34-13-05-15-20-26	June 26, 2016	16,000,000.00	0	5	13	15	20	26	34
Superlotto 6/49	06-34-35-25-18-29	June 28, 2016	16,000,000.00	0	6	18	25	29	34	35
Superlotto 6/49	01-05-40-09-43-36	June 30, 2016	16,000,000.00	0	1	5	9	36	40	43
Superlotto 6/49	46-45-18-15-42-26	July 3, 2016	16,347,744.00	0	15	18	26	42	45	46
Superlotto 6/49	32-15-39-04-40-29	July 5, 2016	18,824,472.00	0	4	15	29	32	39	40
Superlotto 6/49	11-32-19-48-34-14	July 7, 2016	21,375,584.00	0	11	14	19	32	34	48
Superlotto 6/49	18-35-44-42-09-38	July 10, 2016	24,526,164.00	0	9	18	35	38	42	44
Superlotto 6/49	01-25-38-03-49-21	July 12, 2016	27,210,988.00	0	1	3	21	25	38	49
Superlotto 6/49	26-42-35-47-33-07	July 14, 2016	29,966,832.00	0	7	26	33	35	42	47
Superlotto 6/49	40-16-22-27-13-49	July 17, 2016	33,316,892.00	0	13	16	22	27	40	49
Superlotto 6/49	08-11-04-35-39-17	July 19, 2016	36,249,844.00	0	4	8	11	17	35	39
Superlotto 6/49	48-41-24-37-31-46	July 21, 2016	39,206,772.00	0	24	31	37	41	46	48
Superlotto 6/49	32-21-40-05-24-08	July 24, 2016	42,536,540.00	0	5	8	21	24	32	40
Superlotto 6/49	11-02-46-22-12-09	July 26, 2016	45,533,856.00	0	2	9	11	12	22	46
Superlotto 6/49	48-23-42-43-32-22	July 28, 2016	48,718,748.00	0	22	23	32	42	43	48
Superlotto 6/49	16-09-35-28-13-01	July 31, 2016	52,649,304.00	0	1	9	13	16	28	35
Superlotto 6/49	02-47-27-01-22-17	August 2, 2016	55,845,456.00	0	1	2	17	22	27	47
Superlotto 6/49	30-16-25-43-09-31	August 4, 2016	59,030,536.00	0	9	16	25	30	31	43
Superlotto 6/49	33-18-32-38-01-26	August 7, 2016	63,647,456.00	0	1	18	26	32	33	38
Superlotto 6/49	24-04-48-07-15-23	August 9, 2016	67,878,324.00	0	4	7	15	23	24	48
Superlotto 6/49	17-25-21-36-41-16	August 11, 2016	72,629,456.00	0	16	17	21	25	36	41
Superlotto 6/49	40-07-45-23-01-28	August 14, 2016	77,584,524.00	0	1	7	23	28	40	45
Superlotto 6/49	14-11-29-22-05-09	August 16, 2016	82,316,564.00	1	5	9	11	14	22	29
Superlotto 6/49	18-12-40-36-43-20	August 18, 2016	16,000,000.00	0	12	18	20	36	40	43
Superlotto 6/49	13-06-40-41-05-16	August 21, 2016	16,000,000.00	0	5	6	13	16	40	41
Superlotto 6/49	02-01-24-07-38-03	August 23, 2016	16,000,000.00	0	1	2	3	7	24	38
Superlotto 6/49	48-21-47-34-43-49	August 25, 2016	16,000,000.00	0	21	34	43	47	48	49
Superlotto 6/49	36-48-04-11-44-47	August 28, 2016	16,000,000.00	0	4	11	36	44	47	48
Superlotto 6/49	47-27-03-37-12-16	August 30, 2016	17,638,884.00	0	3	12	16	27	37	47
Superlotto 6/49	23-40-25-05-21-04	September 1, 2016	20,835,700.00	0	4	5	21	23	25	40
Superlotto 6/49	04-17-01-22-45-27	September 4, 2016	23,987,704.00	0	1	4	17	22	27	45
Superlotto 6/49	13-10-31-45-16-01	September 6, 2016	27,110,280.00	0	1	10	13	16	31	45
Superlotto 6/49	47-28-05-18-42-02	September 8, 2016	30,288,248.00	0	2	5	18	28	42	47
Superlotto 6/49	38-03-30-04-09-49	September 11, 2016	33,696,272.00	0	3	4	9	30	38	49
Superlotto 6/49	38-25-46-32-29-41	September 13, 2016	36,830,736.00	0	25	29	32	38	41	46
Superlotto 6/49	31-21-02-25-15-19	September 15, 2016	40,112,948.00	0	2	15	19	21	25	31
Superlotto 6/49	22-06-37-05-23-45	September 18, 2016	43,864,256.00	0	5	6	22	23	37	45
Superlotto 6/49	13-08-07-46-31-43	September 20, 2016	47,546,144.00	0	7	8	13	31	43	46
Superlotto 6/49	15-12-39-47-32-11	September 22, 2016	51,498,072.00	0	11	12	15	32	39	47
Superlotto 6/49	26-09-25-28-39-03	September 25, 2016	55,643,068.00	0	3	9	25	26	28	39
Superlotto 6/49	34-06-18-14-13-29	September 27, 2016	59,623,384.00	0	6	13	14	18	29	34
Superlotto 6/49	38-19-40-34-43-17	September 29, 2016	63,951,652.00	0	17	19	34	38	40	43
Superlotto 6/49	04-21-26-40-42-18	October 2, 2016	68,961,660.00	1	4	18	21	26	40	42
Superlotto 6/49	29-37-36-19-21-39	October 4, 2016	16,000,000.00	0	19	21	29	36	37	39
Superlotto 6/49	04-10-31-06-33-02	October 6, 2016	16,000,000.00	0	2	4	6	10	31	33
Superlotto 6/49	01-30-18-49-32-34	October 9, 2016	16,000,000.00	0	1	18	30	32	34	49
Superlotto 6/49	41-17-49-46-43-19	October 11, 2016	16,000,000.00	0	17	19	41	43	46	49
Superlotto 6/49	43-30-36-40-14-45	October 13, 2016	16,000,000.00	0	14	30	36	40	43	45
Superlotto 6/49	47-25-34-03-01-45	October 16, 2016	18,249,792.00	0	1	3	25	34	45	47
